Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2017,YR2017,3.04
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2018,YR2018,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2019,YR2019,3.32
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2020,YR2020,3.4
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2021,YR2021,3.55
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2022,YR2022,4.19
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2017,YR2017,4.06
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2018,YR2018,4.13
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2019,YR2019,4.1
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2020,YR2020,4.06
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2021,YR2021,4.36
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2022,YR2022,4.89
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2017,YR2017,3.44
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2018,YR2018,3.42
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2019,YR2019,3.46
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2020,YR2020,3.65
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2021,YR2021,4
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2022,YR2022,4.41
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2017,YR2017,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2018,YR2018,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2021,YR2021,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2022,YR2022,..
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2017,YR2017,3.93
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2018,YR2018,4.11
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2019,YR2019,4.2
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2020,YR2020,4.31
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2021,YR2021,4.48
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2022,YR2022,4.97
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2017,YR2017,3.32
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2018,YR2018,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2021,YR2021,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2022,YR2022,..
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2017,YR2017,3.21
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2018,YR2018,3.28
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2019,YR2019,3.36
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2020,YR2020,3.37
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2021,YR2021,3.66
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2022,YR2022,4.11
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2017,YR2017,3.47
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2018,YR2018,3.68
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2019,YR2019,3.97
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2020,YR2020,4.09
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2021,YR2021,4.2
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2022,YR2022,4.71
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2017,YR2017,2.33
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2018,YR2018,2.36
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2019,YR2019,2.4
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2020,YR2020,2.51
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2021,YR2021,2.58
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2022,YR2022,2.91
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2017,YR2017,2.06
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2018,YR2018,2.11
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2019,YR2019,2.19
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2020,YR2020,2.31
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2021,YR2021,2.43
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2022,YR2022,2.76
