Country,Country Code,Series,Series Code,2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
Advanced Economies,AME,"Unemployment rate,Percent,,,",UNEMPSA_,6.5502279695,6.76261077894,6.5281391472,6.1934136242,5.75004238366,5.5031700196,5.91372489096,8.13532931125,8.44654559718,8.15541484444,8.27938525758,8.23325835898,7.60110406996,6.9878386781,6.51369375901,5.90800498983,5.35739703662,5.03735776525,6.89128718044,5.82608202842,4.6505660418
Afghanistan,AFG,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Unemployment rate,Percent,,,",UNEMPSA_,25.9,23.7,17.7,15.3,12.3,13.8,11.3,10.2,10,10,11,9.8,10.6,11.2,10.5,11.7,11.7,..,..,..,..
Angola,AGO,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Unemployment rate,Percent,,,",UNEMPSA_,22.42536969173,17.21657915958,13.62201132998,11.56038009857,10.15065512483,8.44544740922,7.85647238675,8.66709016889,7.74560267645,7.15407980778,7.21481208345,7.07591004206,7.26894440814,6.60755936521,8.46308504603,8.33686495454,9.20660227812,9.79830705179,11.52504230321,8.71718387552,6.82421630599
Armenia,ARM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Unemployment rate,Percent,,,",UNEMPSA_,6.35819421666,5.93170113269,5.39582842132,5.03357456797,4.77310617299,4.36939038802,4.2454140062,5.56441465644,5.18259914786,5.0845231925,5.22326511869,5.67007844958,6.08642620411,6.05436303264,5.71597241502,5.5943997686,5.30741523898,5.16878386322,6.46365578515,5.12729721451,3.71585768139
Austria,AUT,"Unemployment rate,Percent,,,",UNEMPSA_,6.87161877978,7.01432503766,7.06798905698,7.27219717044,6.7799825891,6.21238243468,5.90016402595,7.27730888146,6.92471746761,6.72466836681,6.98057336006,7.61479473459,8.36528946083,9.10253252043,9.06345440195,8.51599790434,7.71189385453,7.35236761976,9.99673327443,7.9845183583,6.29072676703
Azerbaijan,AZE,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahamas The,BHS,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,16,5.6,3.7,4,3.6,4,3.7,4.3,3.8,3.5,4.3,4.1,4.3,4.7,5.9,..,..
Bangladesh,BGD,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,1.70565981861,1.42122093124,1.05715053331,0.93097192337,0.89236816854,0.81533042733,0.66661431952,0.63319165928,0.5342287506,0.50214644757,0.9132364799,6.17251421203,5.67101679793,4.82588982901,4.22273249235,4.10131516004,3.92385520207,3.59874960397
Belgium,BEL,"Unemployment rate,Percent,,,",UNEMPSA_,7.52696548924,8.18280799547,8.39029005287,8.44185023845,8.25900008548,7.48800971231,6.96491635456,7.98671833687,8.37183422274,7.20878704925,7.63199920428,8.55439477729,8.6622747536,8.65566570542,7.85021422912,7.09730875816,5.958566657,5.36604192686,5.5309492401,6.27313452361,5.57759023289
Belize,BLZ,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,7.28972124556,6.87525469532,8.44339426898,11.4033211733,12.8647765831,12.37341475784,12.04877038079,13.52428448964,13.48079671711,9.49780335962
Brunei,BRN,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Unemployment rate,Percent,,,",UNEMPSA_,17.42666666667,14.25916666667,12.67,11.45083333333,9.6025,7.73666666667,6.3025,7.58416666667,9.47416666667,9.59416666667,11.08916666667,11.3125,11.16,10.06,8.68583333333,7.19916666667,6.17583333333,5.65,7.35916666667,5.52166666667,4.49916666667
Burkina Faso,BFA,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Unemployment rate,Percent,,,",UNEMPSA_,7.68333333333,7.59166666667,7.15,6.75,6.45,6.15833333333,6.30833333333,8.45833333333,8.14166666667,7.61666666667,7.40833333333,7.175,7.03333333333,6.95,7.03333333333,6.40833333333,5.85,5.7,9.725,7.48333333333,5.26666666667
Cape Verde,CPV,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,8.53510592805,7.3730293282,6.64652779289,6.12404304125,6.42476024565,6.39490964863,6.6407697672,6.93660524067,7.33973135668,7.2267115124,10.54111707143,9.1187477477,7.81148200087
