Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,6.26739358901977,11.7519664764404,17.2363185882568,23,28.2286128997803,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9105377197266,98.8707733154297,98.8307876586914,98.7966461181641,98.7744140625,98.7701416015625,99.3,98.8276748657227,98.8849716186523,98.9572982788086,98.7646604654583,99.1349868774414,99.2343444824219,99.3367080688477,99.439567565918
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.939094543457,25.9745082855225,27.0097007751465,28.0507354736328,29.1036758422852,37.5,31.2680130004883,32.3824691772461,33.514949798584,34.6,35.821964263916,36.9904899597168,32,42,40.5206069946289
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.8684844970703,91.2542343139648,91.639762878418,92.2,92.4344024658203,92.8556442260742,93.2994079589844,93.7641983032227,94.2470092773438,94.5520140336941,95.2546920776367,95.773551940918,96.2984161376953,96.8262939453125,97.3546676635742
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.3599784304366,81.3547876429119,82.6624023433797,83.6875762079726,85.8002961272357,84.7357232408233,85.4328268149662,85.1898151220048,86.1361336464124,86.782683284186,87.2882439402148,88.3897051476481,88.0767741380158,88.5179673938546,88.7686540243445
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.7975082397461,96.1342086791992,96.4706802368164,96.8129959106445,97.1672210693359,97.5394134521484,97.9341278076172,98.3633651733398,98.82,99.2161636352539,99.5844116210938,99.8371276855469,99.9592437744141,99.9952087402344,100
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,98,99.1483154296875,99.1796951293945,99.8,99.2657318115234,99.3310394287109,99.4156494140625,99.5198135375976,99.8,99.7671508789062,99.8788757324219,99.9540557861328,99.9889755249023,100,100
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8337173461914,92.0230484008789,92.2121658325195,92.4071197509765,92.6139831542969,92.8388214111328,93.086166381836,93.3545455932617,93.3562921509542,93.9423751831055,94.2558135986328,94.5782623291016,94.9067230224609,95.2381820678711,95.5701446533203
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,98.9018249511719,99.0534973144531,99.2109756469727,99.5,99.562141418457,99.7418060302734,99.8847351074219,99.9656753540039,99.9,99.9997100830078,100,100,100,100
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.38525390625,96.7583999633789,97.1313247680664,97.5100936889648,97.900764465332,98.3253021240234,98.7536849975586,99.1822662353516,99.5609893798828,99.8256530761719,99.9557952880859,99.9947357177734,100,100,100
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
