"country","minimumWageByCountry_annualMinimalWageEarnings","minimumWageByCountry_hourlyMinimalWageEarnings"
"India",674,0.27
"China",2642,1.27
"United States",15080,7.25
"Indonesia",2449,1.18
"Pakistan",1289,0.52
"Nigeria",901,0.43
"Brazil",3406,1.49
"Bangladesh",212,0.08
"Russia",3135,1.51
"Mexico",4482,1.8
"Japan",16924,8.14
"Philippines",3009,1.46
"DR Congo",220,0.09
"Vietnam",1591,0.76
"Iran",20881,9.13
"Germany",30529,14.68
"Thailand",3733,1.5
"United Kingdom",29690,14.27
"Tanzania",209,0.09
"France",24259,13.33
"South Africa",3671,1.57
"Kenya",702,0.26
"Myanmar",691,0.3
"Colombia",5077,2.03
"South Korea",20990,11.5
"Sudan",13,0.01
"Uganda",426,0.2
"Spain",17457,8.39
"Algeria",1777,0.85
"Iraq",2069,0.99
"Argentina",21350,8.55
"Afghanistan",858,0.41
"Canada",24128,11.6
"Poland",13188,6.34
"Morocco",3997,1.75
"Angola",663,0.29
"Ukraine",2946,1.42
"Uzbekistan",1041,0.5
"Malaysia",4348,1.86
"Mozambique",550,0.26
"Ghana",433,0.21
"Peru",3170,1.27
"Saudi Arabia",12800,5.13
"Madagascar",376,0.18
"Ivory Coast",792,0.38
"Nepal",1524,0.61
"Cameroon",785,0.38
"Niger",650,0.31
"Australia",34515,17.47
"Syria",96,0.4
"Mali",616,0.25
"Burkina Faso",750,0.36
"Taiwan",11973,5.76
"Sri Lanka",603,0.24
"Malawi",266,0.11
"Zambia",596,0.24
"Kazakhstan",1972,0.95
"Chad",1298,0.64
"Chile",6483,2.77
"Romania",8654,4.16
"Senegal",686,0.33
"Guatemala",3924,1.57
"Netherlands",24925,11.98
"Ecuador",5980,2.88
"Benin",865,0.42
"Bolivia",4444,1.78
"Tunisia",2000,0.8
"Haiti",1014,0.41
"Belgium",24005,12.15
"Jordan",5408,2.17
"Dominican Republic",2613,1.14
"Cuba",44,0.44
"Honduras",2420,1.06
"Czech Republic",9959,4.79
"Tajikistan",265,0.13
"Papua New Guinea",2086,0.91
"Portugal",9935,4.78
"Azerbaijan",2435,1.17
"Greece",12915,6.21
"Hungary",9184,4.42
"Togo",757,0.36
"Israel",20700,9.48
"Sierra Leone",575,0.28
"Laos",1732,0.69
"Hong Kong",10708,5.15
"Libya",1169,0.56
"Kyrgyzstan",162,0.08
"Paraguay",4055,1.62
"Nicaragua",1506,0.6
"Bulgaria",5950,2.86
"Serbia",3610,1.74
"El Salvador",3650,1.6
"Lebanon",5373,2.15
"Liberia",4,
"Slovakia",9914,4.77
"Palestine",6985,2.98
"Central African Republic",821,0.39
"Oman",10263,4.39
"Ireland",28302,13.96
"New Zealand",33487,16.1
"Mauritania",982,0.47
"Costa Rica",6932,2.78
"Kuwait",2400,0.96
"Panama",3819,1.53
"Croatia",7075,3.4
"Georgia",93,0.04
"Mongolia",2316,1.11
"Uruguay",6136,2.46
"Bosnia and Herzegovina",3949,1.9
"Moldova",2715,1.31
"Armenia",1787,0.86
"Lithuania",13899,6.68
"Jamaica",4461,2.14
"Albania",4637,2.23
"Gambia",253,0.1
"Gabon",3.246,1.56
"Botswana",1933,0.77
"Lesotho",956,1.29
"Guinea-Bissau",412,0.18
"Slovenia",17079,8.21
"Equatorial Guinea",2792,1.12
"Latvia",8799,4.23
"North Macedonia",2418,1.16
"Trinidad and Tobago",4615,2.22
"Timor-Leste",1380,0.6
"Estonia",10578,5.09
"Mauritius",2538,1.08
"Eswatini",694,0.33
"Fiji",3232,1.29
"Comoros",1587,0.76
"Guyana",2015,0.97
"Solomon Islands",933,0.4
"Bhutan",609,0.29
"Macau",9972,4.79
"Luxembourg",32103,15.43
"Montenegro",6387,3.07
"Malta",11245,5.41
"Cape Verde",1673,0.73
"Belize",5850,2.5
"Bahamas",10920,5.25
"Vanuatu",3240,1.56
"Barbados",8840,4.25
"Samoa",1625,0.78
"Kiribati",2033,0.98
"Seychelles",3282,1.58
"Saint Vincent and the Grenadines",2407,1.16
"Antigua and Barbuda",6317,3.04
"Andorra",18253,8
"Dominica",3081,1.48
"Saint Kitts and Nevis",6933,3.33
"Monaco",24092,11.88
"Marshall Islands",4160,2
"San Marino",21310,10.93
"Palau",6240,3
