Country,Country Code,Inbound arrivals of tourists_2013,Inbound arrivals of tourists_2014,Inbound arrivals of tourists_2015,Inbound arrivals of tourists_2016,Inbound arrivals of tourists_2017,Inbound arrivals of tourists_2018,Inbound arrivals of tourists_2019,Inbound arrivals of tourists_2020,Inbound arrivals of tourists_2021,Inbound arrivals of tourists_2022
Albania,ALB,1062000.0,1062000.0,1062000.0,1062000.0,1062000.0,1062000.0,1062000.0,1062000.0,1062000.0,1062000.0
American Samoa,ASM,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0
Andorra,AND,2347000.0,2347000.0,2347000.0,2347000.0,2347000.0,2347000.0,2347000.0,2347000.0,2347000.0,2347000.0
Angola,AGO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0
Anguilla,AIA,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0
Antigua and Barbuda,ATG,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0
Argentina,ARG,2289000.0,2289000.0,2289000.0,2289000.0,2289000.0,2289000.0,2289000.0,2289000.0,2289000.0,2289000.0
Armenia,ARM,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
Aruba,ABW,619000.0,619000.0,619000.0,619000.0,619000.0,619000.0,619000.0,619000.0,619000.0,619000.0
Australia,AUS,3825000.0,3825000.0,3825000.0,3825000.0,3825000.0,3825000.0,3825000.0,3825000.0,3825000.0,3825000.0
Austria,AUT,17173000.0,17173000.0,17173000.0,17173000.0,17173000.0,17173000.0,17173000.0,17173000.0,17173000.0,17173000.0
Azerbaijan,AZE,576000.0,576000.0,576000.0,576000.0,576000.0,576000.0,576000.0,576000.0,576000.0,576000.0
Bahamas,BHS,1598000.0,1598000.0,1598000.0,1598000.0,1598000.0,1598000.0,1598000.0,1598000.0,1598000.0,1598000.0
Bahrain,BHR,1396000.0,1396000.0,1396000.0,1396000.0,1396000.0,1396000.0,1396000.0,1396000.0,1396000.0,1396000.0
Bangladesh,BGD,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0
Barbados,BRB,442000.0,442000.0,442000.0,442000.0,442000.0,442000.0,442000.0,442000.0,442000.0,442000.0
Belarus,BLR,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0
Belgium,BEL,5560000.0,5560000.0,5560000.0,5560000.0,5560000.0,5560000.0,5560000.0,5560000.0,5560000.0,5560000.0
Belize,BLZ,131000.0,131000.0,131000.0,131000.0,131000.0,131000.0,131000.0,131000.0,131000.0,131000.0
Benin,BEN,138000.0,138000.0,138000.0,138000.0,138000.0,138000.0,138000.0,138000.0,138000.0,138000.0
Bermuda,BMU,387000.0,387000.0,387000.0,387000.0,387000.0,387000.0,387000.0,387000.0,387000.0,387000.0
Bhutan,BTN,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
Bolivia,BOL,284000.0,284000.0,284000.0,284000.0,284000.0,284000.0,284000.0,284000.0,284000.0,284000.0
Bonaire,,59000.0,59000.0,59000.0,59000.0,59000.0,59000.0,59000.0,59000.0,59000.0,59000.0
Bosnia and Herzegovina,BIH,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0
Botswana,BWA,521000.0,521000.0,521000.0,521000.0,521000.0,521000.0,521000.0,521000.0,521000.0,521000.0
Brazil,BRA,1991000.0,1991000.0,1991000.0,1991000.0,1991000.0,1991000.0,1991000.0,1991000.0,1991000.0,1991000.0
British Virgin Islands,VGB,219000.0,219000.0,219000.0,219000.0,219000.0,219000.0,219000.0,219000.0,219000.0,219000.0
Brunei,BRN,119000.0,119000.0,119000.0,119000.0,119000.0,119000.0,119000.0,119000.0,119000.0,119000.0
Bulgaria,BGR,3466000.0,3466000.0,3466000.0,3466000.0,3466000.0,3466000.0,3466000.0,3466000.0,3466000.0,3466000.0
Burkina Faso,BFA,124000.0,124000.0,124000.0,124000.0,124000.0,124000.0,124000.0,124000.0,124000.0,124000.0
Burundi,BDI,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0,34000.0
Cambodia,KHM,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0
Cameroon,CMR,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
Canada,CAN,16968000.0,16968000.0,16968000.0,16968000.0,16968000.0,16968000.0,16968000.0,16968000.0,16968000.0,16968000.0
Cape Verde,CPV,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0
Cayman Islands,CYM,361000.0,361000.0,361000.0,361000.0,361000.0,361000.0,361000.0,361000.0,361000.0,361000.0
Central African Republic,CAF,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0
Chad,TCD,19000.0,19000.0,19000.0,19000.0,19000.0,19000.0,19000.0,19000.0,19000.0,19000.0
Chile,CHL,1540000.0,1540000.0,1540000.0,1540000.0,1540000.0,1540000.0,1540000.0,1540000.0,1540000.0,1540000.0
China,CHN,20034000.0,20034000.0,20034000.0,20034000.0,20034000.0,20034000.0,20034000.0,20034000.0,20034000.0,20034000.0
Colombia,COL,1399000.0,1399000.0,1399000.0,1399000.0,1399000.0,1399000.0,1399000.0,1399000.0,1399000.0,1399000.0
Comoros,COM,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0
Congo,COG,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0
Cook Islands,COK,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0
Costa Rica,CRI,785000.0,785000.0,785000.0,785000.0,785000.0,785000.0,785000.0,785000.0,785000.0,785000.0
Croatia,HRV,1485000.0,1485000.0,1485000.0,1485000.0,1485000.0,1485000.0,1485000.0,1485000.0,1485000.0,1485000.0
Cuba,CUB,742000.0,742000.0,742000.0,742000.0,742000.0,742000.0,742000.0,742000.0,742000.0,742000.0
Curacao,CUW,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0
Cyprus,CYP,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0
Czechia,CZE,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0
Democratic Republic of Congo,COD,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Denmark,DNK,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0
Djibouti,DJI,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0
