id_agro,Year,CleanFuelAndCookingEquipment,Cost of a healthy diet [CoHD],id_country
0,2002,7.7,,0.0
1,2002,41.4,,1.0
2,2002,97.4,,2.0
3,2002,,,3.0
4,2002,100,,4.0
5,2002,41.5,,5.0
6,2002,100,,8.0
7,2002,96.6,,9.0
8,2002,84.5,,10.0
9,2002,,,11.0
10,2002,100,,12.0
11,2002,100,,13.0
12,2002,76.9,,14.0
13,2002,100,,15.0
14,2002,100,,16.0
15,2002,8.5,,17.0
16,2002,100,,18.0
17,2002,94.8,,19.0
18,2002,100,,20.0
19,2002,81.3,,21.0
20,2002,1.1,,22.0
21,2002,,,23.0
22,2002,34.3,,24.0
23,2002,65.2,,25.0
24,2002,51.65,,27.0
25,2002,47.9,,28.0
26,2002,90.2,,30.0
27,2002,,,241.0
28,2002,100,,32.0
29,2002,,,33.0
30,2002,3.1,,34.0
31,2002,0.3,,35.0
32,2002,63.4,,39.0
33,2002,4.6,,36.0
34,2002,11.7,,37.0
35,2002,100,,38.0
36,2002,,,40.0
37,2002,0.5,,41.0
38,2002,2.6,,42.0
39,2002,100,,43.0
40,2002,42.9,,44.0
41,2002,79.8,,47.0
42,2002,0.8,,48.0
43,2002,1.3,,50.0
44,2002,9.4,,49.0
45,2002,89.7,,52.0
46,2002,17,,58.0
47,2002,100,,53.0
48,2002,69.4,,54.0
49,2002,,,55.0
50,2002,100,,56.0
51,2002,100,,57.0
52,2002,100,,59.0
53,2002,4.1,,60.0
54,2002,81.9,,61.0
55,2002,85.6,,62.0
56,2002,90.5,,63.0
57,2002,89.4,,64.0
58,2002,62.4,,65.0
59,2002,19.9,,66.0
60,2002,4.3,,67.0
61,2002,100,,68.0
62,2002,27.2,,212.0
63,2002,0.9,,69.0
64,2002,,,71.0
65,2002,28.2,,72.0
66,2002,100,,73.0
67,2002,100,,74.0
68,2002,,,76.0
69,2002,67.6,,78.0
70,2002,3.6,,79.0
71,2002,48.8,,80.0
72,2002,100,,81.0
73,2002,7.5,,82.0
74,2002,,,83.0
75,2002,100,,84.0
76,2002,,,85.0
77,2002,92.9,,86.0
78,2002,,,88.0
79,2002,38.9,,89.0
80,2002,0.8,,91.0
81,2002,1.3,,92.0
82,2002,100,,93.0
83,2002,2.8,,94.0
