id_eco,Year,"GDP per capita, PPP (constant 2017 international $)",minimumWageByCountry_annualMinimalWageEarnings,minimumWageByCountry_hourlyMinimalWageEarnings,AcessToElectricity,id_country
0,2002,1280.4631,858.0,0.41,6.26739358901977,0.0
1,2003,1292.3335,858.0,0.41,11.7519664764404,0.0
2,2004,1260.0605,858.0,0.41,17.2363185882568,0.0
3,2005,1352.3207,858.0,0.41,23,0.0
4,2006,1366.9932,858.0,0.41,28.2286128997803,0.0
5,2007,1528.3446,858.0,0.41,33.7486801147461,0.0
6,2008,1556.8445,858.0,0.41,42.4,0.0
7,2009,1823.7426,858.0,0.41,44.8548851013184,0.0
8,2010,2026.1638,858.0,0.41,42.7,0.0
9,2011,1961.0963,858.0,0.41,43.2220189082037,0.0
10,2012,2122.8308,858.0,0.41,69.1,0.0
11,2013,2165.3408,858.0,0.41,67.2595520019531,0.0
12,2014,2144.4497,858.0,0.41,89.5,0.0
13,2015,2108.714,858.0,0.41,71.5,0.0
14,2016,2101.422,858.0,0.41,84.1371383666992,0.0
15,2017,2096.093,858.0,0.41,,0.0
16,2018,2060.699,858.0,0.41,,0.0
17,2019,2079.9219,858.0,0.41,,0.0
18,2020,1968.341,858.0,0.41,,0.0
19,2021,1516.2733,858.0,0.41,,0.0
20,1990,4827.0513,4637.0,2.23,,1.0
21,1991,3496.3867,4637.0,2.23,,1.0
22,1992,3264.8367,4637.0,2.23,,1.0
23,1993,3598.828,4637.0,2.23,,1.0
24,1994,3921.634,4637.0,2.23,,1.0
25,1995,4471.6235,4637.0,2.23,,1.0
26,1996,4908.9565,4637.0,2.23,,1.0
27,1997,4400.334,4637.0,2.23,,1.0
28,1998,4819.0913,4637.0,2.23,,1.0
29,1999,5474.8765,4637.0,2.23,,1.0
30,2000,5892.611,4637.0,2.23,,1.0
31,2001,6441.472,4637.0,2.23,,1.0
32,2002,6753.914,4637.0,2.23,100,1.0
33,2003,7154.0303,4637.0,2.23,100,1.0
34,2004,7580.165,4637.0,2.23,100,1.0
35,2005,8040.1206,4637.0,2.23,100,1.0
36,2006,8568.592,4637.0,2.23,100,1.0
37,2007,9150.161,4637.0,2.23,100,1.0
38,2008,9912.197,4637.0,2.23,100,1.0
39,2009,10313.952,4637.0,2.23,100,1.0
40,2010,10749.519,4637.0,2.23,100,1.0
41,2011,11052.832,4637.0,2.23,100,1.0
42,2012,11228.005,4637.0,2.23,100,1.0
43,2013,11361.308,4637.0,2.23,100,1.0
44,2014,11586.874,4637.0,2.23,100,1.0
45,2015,11878.495,4637.0,2.23,100,1.0
46,2016,12291.902,4637.0,2.23,100,1.0
47,2017,12771.054,4637.0,2.23,,1.0
48,2018,13317.185,4637.0,2.23,,1.0
49,2019,13653.249,4637.0,2.23,,1.0
50,2020,13278.435,4637.0,2.23,,1.0
51,2021,14596.016,4637.0,2.23,,1.0
52,2022,15492.067,4637.0,2.23,,1.0
53,1990,8828.874,1777.0,0.85,,2.0
54,1991,8517.377,1777.0,0.85,,2.0
55,1992,8471.527,1777.0,0.85,,2.0
56,1993,8109.884,1777.0,0.85,,2.0
57,1994,7869.2705,1777.0,0.85,,2.0
58,1995,8013.1235,1777.0,0.85,,2.0
59,1996,8195.86,1777.0,0.85,,2.0
60,1997,8147.8784,1777.0,0.85,,2.0
61,1998,8435.036,1777.0,0.85,,2.0
62,1999,8584.071,1777.0,0.85,,2.0
63,2000,8786.19,1777.0,0.85,,2.0
64,2001,8926.11,1777.0,0.85,,2.0
65,2002,9299.683,1777.0,0.85,98.9105377197266,2.0
66,2003,9835.162,1777.0,0.85,98.8707733154297,2.0
67,2004,10114.726,1777.0,0.85,98.8307876586914,2.0
68,2005,10566.373,1777.0,0.85,98.7966461181641,2.0
69,2006,10592.247,1777.0,0.85,98.7744140625,2.0
70,2007,10775.532,1777.0,0.85,98.7701416015625,2.0
71,2008,10847.177,1777.0,0.85,99.3,2.0
72,2009,10824.576,1777.0,0.85,98.8276748657227,2.0
73,2010,11007.747,1777.0,0.85,98.8849716186523,2.0
74,2011,11113.969,1777.0,0.85,98.9572982788086,2.0
75,2012,11270.701,1777.0,0.85,98.7646604654583,2.0
76,2013,11360.638,1777.0,0.85,99.1349868774414,2.0
77,2014,11561.26,1777.0,0.85,99.2343444824219,2.0
78,2015,11751.634,1777.0,0.85,99.3367080688477,2.0
79,2016,11888.323,1777.0,0.85,99.439567565918,2.0
80,2017,11809.483,1777.0,0.85,,2.0
81,2018,11725.878,1777.0,0.85,,2.0
82,2019,11627.28,1777.0,0.85,,2.0
