id_transport,Year,Proportion of population that has convenient access to public transport,id_country
0,2020,54.93,0
1,2020,40.566666,2
2,2020,10.7,5
3,2020,57.547825,9
4,2020,83.48948,12
5,2020,95.74286,13
6,2020,83.1,14
7,2020,21.2,16
8,2020,51.806664,17
9,2020,83.611115,19
10,2018,94.336845,20
11,2020,92.815384,20
12,2020,42.414284,22
13,2020,33.5,24
14,2020,27.2,25
15,2020,71.100006,27
16,2020,70.4,28
17,2020,69.84865,30
18,2020,85.25,33
19,2020,37.7,34
20,2016,77.122856,38
21,2020,72.9,38
22,2020,86.46,43
23,2022,89.957146,43
24,2020,55.192593,44
25,2020,43.449997,47
26,2020,36.325,52
27,2020,50.466663,58
28,2020,88.740005,53
29,2020,55.61111,54
30,2020,90.2,56
31,2020,90.36875,57
32,2020,11.0,50
33,2020,93.71,59
34,2020,15.685715,62
35,2020,33.784615,63
36,2020,21.8125,64
37,2020,28.4,65
38,2020,96.86667,68
39,2020,31.785715,69
40,2020,24.466667,72
41,2020,94.2375,73
42,2020,95.29852,74
43,2020,19.4,76
44,2020,93.27524,81
45,2020,52.5,82
46,2020,90.38333,84
47,2020,45.266666,89
48,2020,43.300003,92
49,2020,17.566668,94
50,2020,21.34,97
51,2020,92.27857,99
52,2020,91.4,100
53,2020,38.800003,101
54,2020,32.93333,102
55,2020,38.003704,103
56,2020,8.1,104
57,2020,90.18,105
58,2017,99.87142,107
59,2020,94.53265,108
60,2020,32.9,109
61,2020,56.8,110
62,2020,7.3,112
63,2020,34.71111,113
64,2020,29.785715,114
65,2020,39.0,118
66,2020,53.309093,119
67,2020,89.700005,121
68,2020,23.85,122
69,2020,88.479996,127
70,2020,97.4,128
71,2020,56.79,131
72,2020,41.533337,132
73,2020,39.6,133
74,2020,98.8,134
75,2020,67.0,135
76,2020,97.3,136
77,2020,39.17647,142
78,2020,74.0,145
79,2020,47.3,146
80,2020,48.86,149
81,2020,35.44,150
82,2020,42.271427,151
83,2020,32.483334,154
84,2020,86.25208,155
85,2020,94.12222,157
86,2020,49.32857,158
87,2020,17.2,159
88,2020,19.525,160
89,2020,28.0625,116
90,2020,7.8,163
91,2020,90.2,164
92,2020,27.925,165
93,2020,18.496296,166
94,2020,23.2875,168
95,2020,32.166668,169
96,2020,18.599998,170
97,2020,11.9,171
98,2020,23.8,172
99,2020,31.5,173
100,2020,92.468254,175
101,2020,92.957146,176
102,2020,91.68,178
103,2020,74.64666,179
104,2020,77.86667,180
105,2020,30.0,181
106,2020,18.8,190
107,2020,30.4,193
108,2020,37.27778,194
109,2020,53.233334,195
110,2017,99.0,198
111,2020,92.41429,200
112,2020,92.5,201
113,2020,7.1,202
114,2020,13.2,204
115,2020,69.6,117
116,2020,95.98032,207
117,2020,45.457146,208
118,2020,13.888889,209
119,2020,87.11333,213
120,2018,92.07692,214
121,2020,93.05,214
122,2020,41.00769,217
123,2020,37.6,218
124,2020,27.199999,219
125,2020,46.63333,221
126,2021,56.355564,225
127,2020,58.3,226
128,2020,23.08889,227
129,2020,18.025,230
130,2020,81.666664,231
131,2020,50.75,232
132,2020,95.55827,233
133,2020,58.905712,234
134,2020,55.7,236
135,2020,18.942858,237
136,2020,42.465385,239
137,2020,48.666668,240
138,2020,41.019997,245
139,2020,9.4,246
140,2020,74.1,247
